net,length_um
net1,51.9
net3,44.925
net5,44.32
net4,42.64
net7,42.46
net2,38.94
net6,38.36
I1,9.64
S1,8.72
I0,6.43
I3,5.97
S0,5.63
Y,5.53
I2,4.95
_0_,0.46
